Person ID,weight,BIRTHDAY,Gender,Number_of children,People_in_Household
57151049,11268.84,19461001,male,0,2-HH
19856,12940.46,19460901,female,0,2-HH
4102455,11962.50,19930901,male,0,2-HH
98848,2280.48,19681101,female,0,1 -HH (female)
366468567,5801.33,19770201,male,0,2-HH
30512,3853.63,19691001,male,0,2-HH
8912323,4374.56,19650701,male,0,2-HH
143666164,7459.00,19610801,female,0,2-HH
5598734,13012.49,20001101,male,0,6-HH
820097435,2870.99,19661101,male,0,2-HH
128174,5083.80,19431001,female,0,2-HH
81657,2966.01,19380601,male,0,2-HH
6861948,#NULL!,19550901,male,0,2-HH
9245305,4554.20,19660701,male,0,4-HH
9359,3185.79,19760501,male,0,1-HH (male)
816653,9215.57,19681201,female,0,4-HH
477146166,11981.26,19991001,male,0,1-HH (male)
465608025,3441.78,19660501,female,0,2-HH
551446,2057.39,19600601,male,0,1-HH (male)
7524,#NULL!,19730701,male,0,4-HH
8945376,2131.09,19470401,female,0,2-HH
580397,3186.36,19401201,male,0,2-HH
68353,1272.64,19590601,female,0,2-HH
7734,2541.78,19690401,male,0,4-HH
296140405,#NULL!,19610201,male,0,3-HH
526681167,6005.68,19850901,male,0,2-HH
2615596,7286.04,19661101,female,0,4-HH
8283609,7514.30,19680601,male,0,4-HH
902560,#NULL!,19481201,male,0,1-HH (male)
67150,#NULL!,19900401,male,2 Children,4-HH
1725330,3995.02,19640401,female,0,2-HH
839024,3934.93,19600301,male,0,2-HH
514988712,4351.45,19650901,male,0,2-HH
1555473,5246.94,19701101,male,0,3-HH
27520468,7261.37,19770101,female,0,4-HH
989747,3810.74,19481101,male,0,2-HH
8309347,3004.91,19631001,female,0,1 -HH (female)
93905,1187.52,19500701,male,0,1-HH (male)
519648095,6303.15,19760801,female,0,4-HH
5869906,13120.28,20000401,male,0,1-HH (male)
76180323,4696.31,19880401,female,0,1 -HH (female)
4475,21190.13,20030201,male,0,2-HH
242639710,3746.59,19650501,female,0,3-HH
972541104,1685.61,19650401,male,0,1-HH (male)
1530722,4761.87,19381101,male,0,2-HH
864241120,2870.99,19640401,male,0,2-HH
533165,2833.09,19580901,male,0,1-HH (male)
34392282,6471.16,19561101,male,0,2-HH
10064,3464.19,19570301,male,0,1-HH (male)
8915,3542.77,19481001,female,0,2-HH
33706,718.05,19791201,male,0,3-HH
702365779,2079.74,19461101,female,0,2-HH
99466892,3810.74,19571001,male,0,2-HH
8101037,3046.51,19750901,female,0,2-HH
